name,parent_region__name,gibdd_code,ya_name,slug
Владикавказ,Республика Северная Осетия-Алания,90401,Владикавказ,vladikavkaz
Георгиевский район,Ставропольский край,7215,Георгиевский городской округ,georgievskii-raion
Ярский район,Удмуртская Республика,94252,Ярский район,iarskii-raion
Янаульский,Республика Башкортостан,80259,Янаульский район,ianaulskii
Чернянский район,Белгородская область,14254,Чернянский район,chernianskii-raion
Ножай-Юртовский район,Чеченская Республика,96009,Ножай-Юртовский район,nozhai-iurtovskii-raion
Ровеньский район,Белгородская область,14250,Ровеньский район,rovenskii-raion
Юкаменский район,Удмуртская Республика,94248,Юкаменский район,iukamenskii-raion
Черемшанский район,Республика Татарстан (Татарстан),92258,Черемшанский район,cheremshanskii-raion
Юринский район,Республика Марий Эл,88256,Юринский район,iurinskii-raion
Прикубанский район,Карачаево-Черкесская Республика,91230,Прикубанский район,prikubanskii-raion
Тюлячинский район,Республика Татарстан (Татарстан),92256,Тюлячинский район,tiuliachinskii-raion
Ижевск,Удмуртская Республика,94401,Ижевск,izhevsk
Ядринский район,Чувашская Республика - Чувашия,97253,,iadrinskii-raion
Рекитянский район,Белгородская область,14248,Ракитянский район,rekitianskii-raion
Теньгушевский район,Республика Мордовия,89251,Теньгушевский район,tengushevskii-raion
Сернурский район,Республика Марий Эл,88248,Сернурский район,sernurskii-raion
Советский район,Республика Марий Эл,88252,Советский район,sovetskii-raion
Цивильский район,Чувашская Республика - Чувашия,97241,,tsivilskii-raion
Ютазинский район,Республика Татарстан (Татарстан),92254,Ютазинский район,iutazinskii-raion
Шемуршинский район,Чувашская Республика - Чувашия,97247,,shemurshinskii-raion
Сюмский район,Удмуртская Республика,94241,Сюмсинский район,siumskii-raion
Моргаушский район,Чувашская Республика - Чувашия,97232,,morgaushskii-raion
Мариинско-Посадский район,Чувашская Республика - Чувашия,97229,,mariinsko-posadskii-raion
Сармановский район,Республика Татарстан (Татарстан),92253,Сармановский район,sarmanovskii-raion
Порецкий район,Чувашская Республика - Чувашия,97235,,poretskii-raion
Урмарский район,Чувашская Республика - Чувашия,97238,,urmarskii-raion
Новооскольский район,Белгородская область,14244,Новооскольский городской округ,novooskolskii-raion
Шаройский район,Чеченская Республика,96013,Шаройский район,sharoiskii-raion
Саранск,Республика Мордовия,89401,Саранск,saransk
Чамзинский район,Республика Мордовия,89257,Чамзинский район,chamzinskii-raion
Яковлевский район,Белгородская область,14258,Яковлевский городской округ,iakovlevskii-raion
Янтиковский район,Чувашская Республика - Чувашия,97258,,iantikovskii-raion
Шебекинский  район,Белгородская область,14256,Шебекинский городской округ,shebekinskii-raion
Красночетайский район,Чувашская Республика - Чувашия,97226,,krasnochetaiskii-raion
Якшур-Бодьинский район,Удмуртская Республика,94250,Якшур-Бодьинский район,iakshur-bodinskii-raion
Красноармейский район,Чувашская Республика - Чувашия,97224,,krasnoarmeiskii-raion
Яльчикский район,Чувашская Республика - Чувашия,97255,,ialchikskii-raion
Труновский район,Ставропольский край,7254,Труновский район,trunovskii-raion
Темниковский район,Республика Мордовия,89249,Темниковский район,temnikovskii-raion
Торбеевский район,Республика Мордовия,89254,Торбеевский район,torbeevskii-raion
Шарканский район,Удмуртская Республика,94246,Шарканский район,sharkanskii-raion
